name,type,url
hostsFileOrg,rfc952,https://hostsfile.org/Downloads/hosts.txt
kadhosts_azet12,domain,https://raw.githubusercontent.com/FiltersHeroes/KADhosts/master/KADomains.txt
migueldemouraAds-tracking,domain,https://raw.githubusercontent.com/migueldemoura/ublock-umatrix-rulesets/master/Hosts/ads-tracking
migueldemouraAds-tracking-breaking,domain,https://raw.githubusercontent.com/migueldemoura/ublock-umatrix-rulesets/master/Hosts/ads-tracking-breaking
migueldemouraGoogleLocal,domain,https://raw.githubusercontent.com/migueldemoura/ublock-umatrix-rulesets/master/Hosts/google-local
migueldemouraMalware,domain,https://raw.githubusercontent.com/migueldemoura/ublock-umatrix-rulesets/master/Hosts/malware
pglYoyo,domain,https://pgl.yoyo.org/adservers/serverlist.php?hostformat=nohtml&showintro=0&mimetype=plaintext
phishing-block-list,domain,https://raw.githubusercontent.com/chainapsis/phishing-block-list/main/block-list.txt
phishing-block-list,domain,https://raw.githubusercontent.com/chainapsis/phishing-block-list/main/block-list.txt
phishingArmy,domain,https://phishing.army/download/phishing_army_blocklist_extended.txt
phishingArmy,domain,https://phishing.army/download/phishing_army_blocklist_extended.txt
phishing_army_blocklist_extended,domain,https://phishing.army/download/phishing_army_blocklist_extended.txt
quidsUpMixed,domain,https://quidsup.net/notrack/blocklist.php?download=trackersdomains
someonewhocares,rfc952,https://someonewhocares.org/hosts/hosts
